index,date,open,high,low,close,volume,returns,log_returns,volatility,ma_20,ma_50,rsi,sentiment_score,regime
128,2025-01-29,101335.52,104782.68,101328.01,103733.24,23155.35802,0.023661199942527578,0.023385612440133215,0.020161807012200987,101041.391,99220.34059999998,57.143374339226455,1,Bull
129,2025-01-30,103733.25,106457.44,103278.54,104722.94,19374.07472,0.00954081835292131,0.009495592181071395,0.019764137024055384,101541.23250000001,99292.29939999999,60.23734459065668,1,Bull
130,2025-01-31,104722.94,106012.0,101560.0,102429.56,21983.18193,-0.021899499765762886,-0.022142853251164527,0.02064418773608696,101932.71100000001,99340.80479999998,46.13752575889115,-1,Bull
131,2025-02-01,102429.56,102783.71,100279.51,100635.65,12290.95747,-0.01751359666096397,-0.017668774175154188,0.02118911773216765,102237.2405,99325.03279999999,41.34438086154823,-1,Bull
132,2025-02-02,100635.66,101456.6,96150.0,97700.59,34619.49939,-0.029165211334154395,-0.029598970722466058,0.022416342094904906,102395.465,99250.64459999999,41.8799087574917,-1,Bull
133,2025-02-03,97700.59,102500.01,91231.0,101328.52,75164.7385,0.03713314320824468,0.03646031368487303,0.02335728408630855,102633.84800000001,99187.9352,48.141294279674476,1,Bull
134,2025-02-04,101328.51,101732.31,96150.0,97763.13,40267.98697,-0.03518644109279401,-0.03582039951426249,0.023090499951384208,102497.137,99022.0246,33.061832963001436,-1,Bull
135,2025-02-05,97763.14,99149.0,96155.0,96612.43,26233.30444,-0.011770285996367091,-0.011840104206887518,0.023196695804197295,102328.39349999999,98831.5984,34.87539339971114,-1,Bull
136,2025-02-06,96612.44,99120.0,95676.64,96554.35,23515.20405,-0.0006011648811647952,-0.0006013456532248081,0.02101888913218467,101952.237,98758.60519999999,34.21936147107675,-1,Bull
137,2025-02-07,96554.35,100137.99,95620.34,96506.8,31794.22065,-0.0004924687494659574,-0.0004925900520273397,0.02094333110101222,101549.76550000001,98739.504,31.326358375308132,-1,Bull
138,2025-02-08,96506.8,96880.0,95688.0,96444.74,10147.24294,-0.0006430634939713631,-0.0006432703479849328,0.019936226660186056,101305.424,98712.29,31.41275101521036,-1,Bull
139,2025-02-09,96444.75,97323.09,94713.0,96462.75,14120.91613,0.00018673905907151678,0.00018672162550374357,0.019762149240088584,101015.561,98695.7052,34.77734589202814,1,Bull
140,2025-02-10,96462.75,98345.0,95256.0,97430.82,20572.87537,0.010035687350816946,0.009985664239646478,0.017672442205130062,100579.91100000001,98740.59619999999,38.73870907926316,1,Bull
141,2025-02-11,97430.82,98478.42,94876.88,95778.2,18647.76379,-0.016961983897908373,-0.017107486030289196,0.017377604333463286,100183.488,98758.53080000001,37.11207420346212,-1,Bull
142,2025-02-12,95778.21,98119.99,94088.23,97869.99,29151.16625,0.021839938524633062,0.021604863590941464,0.01826341104080952,99881.47050000001,98742.659,36.20687627180449,1,Bull
143,2025-02-13,97870.0,98083.91,95217.36,96608.14,19921.77616,-0.0128931248485874,-0.012976962582638805,0.01815707072745653,99468.35250000001,98686.2298,31.15151627768695,-1,Bull
144,2025-02-14,96608.13,98826.0,96252.82,97500.48,18173.02646,0.009236695789816451,0.009194298389878524,0.018391646138569313,99106.034,98720.4074,37.754057567169,1,Bull
145,2025-02-15,97500.47,97972.26,97223.58,97569.66,7349.37683,0.0007095349684433927,0.0007092833675137415,0.01797091027182103,98853.517,98785.82,41.66879068814495,1,Bull
146,2025-02-16,97569.67,97704.47,96046.18,96118.12,8191.4249,-0.014876960727340904,-0.014988732643856638,0.018179421595019486,98555.2815,98802.1824,45.32287134149983,-1,Bear
147,2025-02-17,96118.12,97046.59,95205.0,95780.0,16492.0451,-0.0035177550289164916,-0.0035239568777999416,0.01815149317868908,98277.5055,98843.0184,29.641895313084802,-1,Bear
148,2025-02-18,95780.01,96753.91,93388.09,95671.74,23368.19471,-0.0011302986009604776,-0.001130937870179614,0.017085180674184658,97874.43049999999,98900.6122,39.718018479533804,-1,Bear
149,2025-02-19,95671.74,96899.99,95029.99,96644.37,16438.50954,0.01016632497746972,0.010114995490717066,0.017111558428991237,97470.50200000001,98961.9796,50.159826262747586,1,Bear
150,2025-02-20,96644.37,98711.36,96415.09,98305.0,17057.39177,0.017182894357943512,0.017036938024453396,0.01716949257285033,97264.274,99036.24380000001,57.549387001763705,1,Bear
151,2025-02-21,98305.01,99475.0,94871.95,96181.98,32249.2814,-0.02159625654849706,-0.021832868521335577,0.01739259521177988,97041.5905,99020.1876,48.81193435024709,-1,Bear
152,2025-02-22,96181.99,96980.0,95770.49,96551.01,11268.17708,0.0038367893861199764,0.0038294476827775473,0.01619218437197731,96984.1115,98987.7242,50.380157815396444,1,Bear
153,2025-02-23,96551.01,96650.0,95227.94,96258.0,10884.84913,-0.003034768875022631,-0.0030393831239023624,0.013643331870060924,96730.5855,98948.4742,49.2816843003377,-1,Bear
154,2025-02-24,96258.0,96500.0,91349.26,91552.88,31550.10299,-0.04888030085811046,-0.05011535775172125,0.015696992685530407,96420.073,98812.2596,33.66253194983196,-1,Bear
155,2025-02-25,91552.88,92540.69,86050.99,88680.4,78333.11111,-0.0313750916410277,-0.03187783350742482,0.01686781346839683,96023.47150000001,98541.15559999998,31.524806080483117,-1,Bear
156,2025-02-26,88680.39,89414.15,82256.01,84250.09,56893.54409,-0.04995816437454048,-0.05124925785668909,0.019828090953570226,95408.2585,98287.06520000001,18.395666879529514,-1,Bear
157,2025-02-27,84250.09,87078.46,82716.49,84708.58,42505.45439,0.005442011990729023,0.005427257747781736,0.019971121422953774,94818.3475,98080.0246,21.318289099197088,1,Bear
